ride_id,bike_id,ride_timestamp,ride_duration,distance,avg_vibration,avg_speed,end_lat,end_lng
1,50,2025-10-03T12:16:18,25.9,3.36,0.14,7.78,28.595864,77.173968
2,46,2025-09-21T02:43:44,36.06,4.38,0.187,7.29,28.61791,77.226464
3,10,2025-09-19T08:52:55,57.43,8.33,0.073,8.7,28.580943,77.21111
4,44,2025-10-02T21:40:22,36.9,3.89,0.262,6.33,28.610819,77.174976
5,25,2025-09-01T19:08:49,32.96,2.68,0.163,4.88,28.57086,77.200545
6,19,2025-09-28T08:36:22,58.7,7.23,0.172,7.39,28.615245,77.196003
7,23,2025-09-01T04:59:05,15.81,2.32,0.207,8.8,28.619288,77.218414
8,44,2025-09-21T12:13:08,47.1,6.77,0.2,8.62,28.596699,77.174267
9,26,2025-09-08T10:37:40,58.16,6.13,0.197,6.32,28.617558,77.229238
10,20,2025-09-24T21:49:36,53.61,7.43,0.14,8.32,28.599807,77.21479
11,38,2025-10-06T06:11:33,38.24,3.8,0.159,5.96,28.593902,77.198121
12,1,2025-10-08T00:44:43,19.01,2.73,0.02,8.62,28.587771,77.183067
13,20,2025-09-19T11:24:10,14.7,1.77,0.277,7.22,28.583124,77.197388
14,9,2025-09-10T23:06:04,59.61,8.03,0.199,8.08,28.589859,77.175656
15,46,2025-09-10T03:47:38,27.41,3.9,0.167,8.54,28.587123,77.225835
16,25,2025-09-28T15:22:58,12.85,1.8,0.115,8.4,28.609926,77.226707
17,34,2025-10-04T01:04:51,38.46,3.08,0.14,4.8,28.601922,77.171451
18,42,2025-10-14T14:45:12,52.55,5.71,0.172,6.52,28.629259,77.22443
19,50,2025-10-11T23:51:46,45.02,3.98,0.165,5.3,28.583962,77.171776
20,19,2025-09-19T10:31:18,24.49,2.78,0.163,6.81,28.581949,77.228455
21,41,2025-09-11T11:03:08,41.36,5.66,0.195,8.21,28.570468,77.202537
22,50,2025-09-10T03:34:56,6.31,0.68,0.115,6.47,28.578833,77.221084
23,19,2025-09-11T11:20:15,45.98,4.25,0.052,5.55,28.628296,77.185135
24,8,2025-09-07T04:40:34,42.35,4.16,0.103,5.89,28.604909,77.210089
25,27,2025-10-16T16:13:02,54.13,5.15,0.156,5.71,28.57745,77.218349
26,40,2025-10-04T12:11:05,7.94,0.76,0.166,5.74,28.581246,77.219494
27,5,2025-10-12T16:53:41,51.99,5.95,0.199,6.87,28.603597,77.229811
28,18,2025-09-16T11:37:31,45.85,4.53,0.087,5.93,28.587931,77.206257
29,20,2025-09-12T05:05:42,25.09,2.17,0.154,5.19,28.603042,77.182494
30,41,2025-09-27T07:16:04,41.45,3.78,0.146,5.47,28.577277,77.201167
31,28,2025-09-24T15:41:40,28.52,2.33,0.14,4.9,28.609009,77.195085
32,18,2025-09-24T13:15:32,46.21,4.27,0.134,5.54,28.57154,77.216391
33,23,2025-10-04T20:56:39,9.83,1.39,0.074,8.48,28.58556,77.229096
34,49,2025-09-24T08:05:26,46.04,6.86,0.159,8.94,28.603687,77.194705
35,32,2025-09-23T17:24:14,9.84,0.81,0.185,4.94,28.586223,77.222997
36,27,2025-09-16T10:15:11,15.1,1.32,0.124,5.25,28.571071,77.205351
37,7,2025-09-19T05:14:17,7.01,0.63,0.139,5.39,28.587622,77.212445
38,14,2025-09-17T23:18:52,47.33,4.64,0.178,5.88,28.575074,77.226663
39,21,2025-10-14T02:00:17,19.06,2.54,0.183,8.0,28.590608,77.202055
40,31,2025-10-14T22:01:38,47.53,4.42,0.222,5.58,28.57048,77.226346
41,20,2025-09-01T20:41:37,7.83,0.64,0.244,4.9,28.583545,77.198597
42,1,2025-10-14T21:00:29,46.05,5.5,0.039,7.17,28.606417,77.174414
43,19,2025-09-07T05:21:29,23.08,3.11,0.132,8.08,28.585572,77.228138
44,12,2025-09-27T19:45:37,39.81,4.79,0.275,7.22,28.606288,77.213305
45,1,2025-09-03T21:23:15,15.3,1.54,0.222,6.04,28.616498,77.228802
46,14,2025-09-05T17:22:10,48.09,3.94,0.114,4.92,28.624885,77.229855
47,34,2025-09-06T09:14:50,21.73,2.93,0.107,8.09,28.575172,77.199248
48,48,2025-10-03T04:29:25,34.65,4.5,0.106,7.79,28.617823,77.204599
49,30,2025-09-27T16:45:26,56.3,7.89,0.02,8.41,28.619713,77.171645
50,14,2025-09-20T21:08:57,27.42,4.01,0.216,8.77,28.57556,77.187545
51,27,2025-10-03T15:25:01,12.49,1.28,0.197,6.15,28.606513,77.218202
52,17,2025-09-22T10:09:22,43.56,4.7,0.189,6.47,28.61938,77.206777
53,43,2025-09-02T04:11:32,56.49,4.58,0.052,4.86,28.605395,77.20725
54,41,2025-09-19T08:05:51,42.52,4.32,0.236,6.1,28.57111,77.188666
55,42,2025-10-11T18:46:23,33.18,4.95,0.244,8.95,28.625919,77.17142
56,9,2025-10-01T03:10:00,55.9,5.75,0.186,6.17,28.593217,77.188799
57,24,2025-10-04T12:35:55,20.08,2.17,0.138,6.48,28.577994,77.181262
58,28,2025-10-03T09:55:29,6.93,0.58,0.051,5.02,28.604451,77.170037
59,4,2025-10-05T19:32:33,44.44,5.88,0.02,7.94,28.577763,77.219567
60,17,2025-09-13T20:18:15,22.75,3.02,0.153,7.96,28.576055,77.186206
61,47,2025-09-19T19:14:24,57.8,4.65,0.091,4.83,28.628136,77.218315
62,16,2025-10-15T13:01:15,27.7,2.52,0.031,5.46,28.612328,77.220402
63,26,2025-09-10T02:57:02,45.89,5.44,0.226,7.11,28.582225,77.186151
64,19,2025-10-15T23:18:17,20.95,1.82,0.038,5.21,28.608954,77.205191
65,26,2025-10-13T11:18:31,23.02,2.33,0.046,6.07,28.572579,77.224689
66,17,2025-09-18T08:48:02,44.28,5.11,0.144,6.92,28.602048,77.170128
67,45,2025-09-13T15:26:14,15.51,2.16,0.252,8.36,28.610435,77.227792
68,1,2025-09-24T20:59:08,7.97,0.84,0.258,6.32,28.616885,77.186762
69,29,2025-10-04T07:18:51,43.62,3.92,0.181,5.39,28.617589,77.215549
70,38,2025-10-01T07:09:38,9.62,0.89,0.184,5.55,28.592623,77.181668
71,19,2025-10-10T12:40:52,26.62,2.44,0.263,5.5,28.598089,77.191906
72,39,2025-09-08T04:52:48,8.01,0.95,0.045,7.12,28.58029,77.192518
73,20,2025-09-16T23:30:58,50.81,4.83,0.227,5.7,28.626709,77.221925
74,17,2025-09-30T11:23:26,51.25,6.38,0.137,7.47,28.618022,77.224113
75,7,2025-10-19T12:05:38,41.9,3.86,0.04,5.53,28.591113,77.190258
76,40,2025-09-08T07:20:26,57.61,5.53,0.114,5.76,28.595785,77.178568
77,23,2025-10-05T18:22:08,23.41,3.07,0.078,7.87,28.577786,77.198323
78,37,2025-09-03T18:02:25,37.65,5.39,0.096,8.59,28.595842,77.221924
79,6,2025-09-28T11:17:00,23.12,2.21,0.199,5.74,28.62618,77.193342
80,41,2025-10-02T03:28:26,32.79,2.81,0.136,5.14,28.625278,77.180244
81,13,2025-09-10T16:33:32,55.76,7.03,0.099,7.56,28.574248,77.21142
82,24,2025-09-28T07:23:57,34.02,5.05,0.087,8.91,28.628252,77.184612
83,37,2025-10-05T13:28:57,48.09,4.47,0.173,5.58,28.59241,77.180723
84,31,2025-09-04T11:01:53,14.78,2.11,0.106,8.57,28.593054,77.171689
85,13,2025-10-17T04:03:09,41.18,3.91,0.123,5.7,28.581261,77.20413
86,32,2025-09-09T09:04:38,32.42,4.26,0.124,7.88,28.624887,77.200993
87,34,2025-09-27T09:40:22,35.51,3.83,0.143,6.47,28.584993,77.226776
88,19,2025-09-22T20:08:49,23.11,2.45,0.161,6.36,28.612371,77.217795
89,18,2025-09-06T05:41:34,45.9,6.8,0.02,8.89,28.622395,77.212753
90,6,2025-09-15T14:56:36,38.16,4.76,0.163,7.48,28.629661,77.211493
91,29,2025-09-10T05:15:57,52.39,6.89,0.02,7.89,28.627193,77.172767
92,45,2025-09-09T14:46:51,28.77,3.23,0.026,6.74,28.622302,77.203078
93,41,2025-09-12T02:30:57,41.27,3.72,0.132,5.41,28.607668,77.189442
94,41,2025-09-09T04:37:43,18.16,1.67,0.265,5.52,28.590507,77.171927
95,17,2025-09-17T21:51:00,31.64,4.3,0.136,8.15,28.586809,77.196547
96,47,2025-10-03T08:37:58,40.65,5.41,0.243,7.99,28.620489,77.184945
97,25,2025-10-03T20:09:59,53.95,7.45,0.145,8.29,28.62974,77.198705
98,19,2025-10-18T18:37:50,36.64,4.86,0.342,7.96,28.608743,77.179148
99,9,2025-09-26T18:32:16,50.48,5.14,0.191,6.11,28.590468,77.198859
100,43,2025-10-01T11:13:12,25.94,3.29,0.227,7.61,28.591715,77.187786
101,40,2025-09-16T08:32:04,44.39,5.28,0.114,7.14,28.62085,77.220817
102,11,2025-09-19T02:54:48,13.2,1.6,0.25,7.27,28.584409,77.218699
103,18,2025-09-02T23:01:34,28.93,2.72,0.163,5.64,28.61598,77.191114
104,49,2025-10-13T07:27:36,8.17,1.0,0.15,7.34,28.601391,77.196149
105,12,2025-10-19T01:36:10,40.48,4.85,0.18,7.19,28.622171,77.227997
106,40,2025-10-05T05:05:58,28.02,3.0,0.03,6.42,28.628339,77.21322
107,16,2025-10-08T01:43:46,18.54,1.67,0.216,5.4,28.605365,77.20885
108,19,2025-09-17T03:08:46,44.97,5.77,0.02,7.7,28.576556,77.180388
109,11,2025-09-02T11:42:25,39.1,5.48,0.026,8.41,28.578763,77.180214
110,41,2025-09-11T09:30:40,21.55,3.23,0.13,8.99,28.57284,77.171475
111,20,2025-10-10T01:12:57,55.65,7.56,0.02,8.15,28.610606,77.229858
112,24,2025-10-15T23:08:10,14.65,2.07,0.243,8.48,28.599692,77.208631
113,14,2025-09-19T12:00:12,25.94,3.01,0.03,6.96,28.576764,77.219492
114,31,2025-09-24T11:13:54,19.71,2.03,0.188,6.18,28.573519,77.218498
115,40,2025-09-24T10:55:46,24.69,2.44,0.052,5.93,28.618289,77.197329
116,46,2025-10-17T05:12:57,34.91,4.05,0.249,6.96,28.570336,77.191019
117,32,2025-09-05T18:40:52,39.46,5.82,0.055,8.85,28.600083,77.179713
118,11,2025-09-07T20:34:05,24.89,3.22,0.248,7.76,28.588849,77.221986
119,28,2025-10-02T03:05:45,46.34,5.41,0.236,7.0,28.627145,77.196165
120,37,2025-09-05T19:24:31,49.33,4.6,0.05,5.59,28.610234,77.209833
121,4,2025-09-19T09:16:54,28.36,3.92,0.212,8.29,28.591431,77.18816
122,49,2025-09-04T05:59:25,57.51,7.62,0.176,7.95,28.584042,77.222325
123,35,2025-09-16T06:09:39,25.09,2.88,0.102,6.89,28.570331,77.181025
124,2,2025-10-17T13:10:02,9.31,1.16,0.177,7.48,28.606188,77.203008
125,6,2025-10-09T16:05:35,5.82,0.66,0.187,6.8,28.601439,77.212512
126,21,2025-09-20T23:15:28,10.47,1.37,0.183,7.85,28.590001,77.20382
127,19,2025-09-08T00:11:41,36.31,3.76,0.105,6.21,28.610077,77.189317
128,23,2025-09-24T07:52:17,59.81,8.35,0.098,8.38,28.595416,77.210569
129,37,2025-09-30T19:06:46,7.45,0.61,0.11,4.91,28.593693,77.204669
130,5,2025-09-19T08:13:11,45.68,3.88,0.1,5.1,28.593338,77.193844
131,46,2025-09-22T18:24:53,54.57,7.64,0.158,8.4,28.593604,77.2184
132,5,2025-09-10T09:06:02,47.06,4.14,0.183,5.28,28.575714,77.179428
133,48,2025-10-05T20:05:49,56.48,7.11,0.072,7.55,28.606672,77.181337
134,34,2025-10-16T18:43:27,54.46,5.03,0.127,5.54,28.623712,77.222008
135,32,2025-09-26T18:24:32,50.76,5.77,0.316,6.82,28.6283,77.182548
136,1,2025-10-06T17:01:38,8.78,1.08,0.27,7.38,28.619944,77.191215
137,47,2025-09-30T00:16:09,52.32,7.57,0.153,8.68,28.589615,77.173214
138,42,2025-09-16T06:31:16,14.52,1.53,0.197,6.32,28.627006,77.171665
139,49,2025-09-30T09:16:08,18.23,2.2,0.094,7.24,28.575293,77.202579
140,37,2025-10-08T03:13:27,7.76,1.06,0.176,8.2,28.618548,77.206234
141,19,2025-09-27T06:15:22,8.3,1.0,0.13,7.23,28.596219,77.184308
142,6,2025-09-08T00:47:11,52.76,7.85,0.178,8.93,28.593545,77.198582
143,45,2025-09-26T13:44:39,54.84,5.18,0.266,5.67,28.591702,77.219918
144,29,2025-10-07T17:12:38,21.72,2.3,0.214,6.35,28.572506,77.213098
145,7,2025-09-21T22:16:23,46.19,5.28,0.098,6.86,28.615996,77.227523
146,4,2025-09-24T19:41:58,7.7,1.1,0.17,8.57,28.578389,77.176944
147,30,2025-10-12T04:32:09,21.04,2.79,0.132,7.96,28.593245,77.204675
148,8,2025-09-20T11:20:06,8.75,0.88,0.274,6.03,28.613233,77.183718
149,41,2025-10-11T01:18:28,12.6,1.42,0.221,6.76,28.619703,77.220667
150,39,2025-09-18T12:33:00,8.77,0.84,0.068,5.75,28.61342,77.202564
151,21,2025-10-02T03:26:19,56.49,6.64,0.02,7.05,28.624477,77.195986
152,20,2025-10-05T05:11:45,44.65,5.23,0.161,7.03,28.612912,77.228253
153,45,2025-09-17T19:08:34,49.54,5.32,0.154,6.44,28.613592,77.205933
154,36,2025-10-01T12:19:39,10.34,1.41,0.085,8.18,28.577298,77.180421
155,27,2025-09-16T11:56:14,36.26,5.27,0.079,8.72,28.58448,77.219725
156,45,2025-09-07T07:19:21,21.11,2.56,0.143,7.28,28.624725,77.221105
157,13,2025-09-22T09:39:13,18.38,2.66,0.159,8.68,28.586047,77.189482
158,37,2025-10-19T20:36:47,35.8,5.03,0.122,8.43,28.57485,77.225712
159,40,2025-09-19T12:19:11,16.73,1.72,0.143,6.17,28.6285,77.22301
160,45,2025-09-27T19:21:46,35.94,4.89,0.185,8.16,28.582979,77.215883
161,12,2025-09-25T13:11:15,18.9,1.99,0.144,6.32,28.62293,77.181374
162,24,2025-10-11T13:35:20,15.1,1.9,0.115,7.55,28.627443,77.200388
163,4,2025-10-14T08:35:22,5.9,0.8,0.1,8.14,28.585119,77.214758
164,2,2025-10-14T19:20:03,6.1,0.86,0.103,8.46,28.609901,77.197492
165,31,2025-10-10T12:40:26,19.35,1.91,0.02,5.92,28.582801,77.21387
166,45,2025-10-05T04:00:39,20.81,1.72,0.198,4.96,28.595833,77.171142
167,38,2025-09-24T23:14:14,53.11,7.85,0.161,8.87,28.606046,77.196323
168,20,2025-10-11T22:55:25,8.77,1.18,0.078,8.07,28.601085,77.218026
169,1,2025-10-06T15:10:55,11.05,1.44,0.121,7.82,28.593536,77.207996
170,34,2025-09-18T16:03:58,27.78,2.62,0.129,5.66,28.599063,77.193389
171,34,2025-09-25T12:09:51,46.21,4.96,0.168,6.44,28.620428,77.201299
172,10,2025-10-01T19:36:22,15.88,1.74,0.172,6.57,28.597906,77.210963
173,30,2025-09-23T14:27:14,40.07,4.82,0.246,7.22,28.570525,77.185878
174,45,2025-09-24T12:45:08,43.81,5.87,0.19,8.04,28.584388,77.185797
175,1,2025-09-11T12:11:01,31.77,3.08,0.123,5.82,28.615558,77.202725
176,29,2025-09-17T20:12:05,47.13,6.73,0.235,8.57,28.590675,77.202299
177,18,2025-09-24T23:18:52,9.5,1.13,0.086,7.14,28.61969,77.22157
178,39,2025-09-19T02:36:38,16.44,2.13,0.197,7.77,28.629778,77.180502
179,19,2025-09-10T19:36:53,20.17,1.74,0.035,5.18,28.628891,77.172643
180,49,2025-09-03T19:51:50,35.89,4.69,0.02,7.84,28.589126,77.225345
181,15,2025-10-16T07:40:29,26.59,2.49,0.121,5.62,28.592595,77.190891
182,24,2025-09-02T02:27:19,12.02,1.29,0.242,6.44,28.586384,77.200474
183,35,2025-09-14T19:09:03,29.59,3.76,0.029,7.62,28.605503,77.21148
184,18,2025-09-26T00:41:17,55.77,5.3,0.132,5.7,28.618291,77.209776
185,3,2025-10-15T20:36:30,42.27,5.37,0.062,7.62,28.578536,77.220619
186,9,2025-10-09T03:22:13,41.38,4.1,0.192,5.94,28.622612,77.205571
187,7,2025-09-28T15:03:16,50.64,6.41,0.181,7.59,28.591744,77.190947
188,6,2025-09-10T21:53:46,42.13,5.37,0.23,7.65,28.572834,77.188792
189,43,2025-09-07T11:59:44,16.16,2.23,0.232,8.28,28.5745,77.208939
190,46,2025-10-18T17:02:25,45.29,4.67,0.11,6.19,28.613708,77.198809
191,37,2025-10-07T23:31:41,42.94,3.47,0.11,4.85,28.584868,77.210658
192,27,2025-09-15T11:45:52,30.2,3.93,0.07,7.81,28.602439,77.194505
193,36,2025-09-19T02:58:26,16.62,1.92,0.121,6.93,28.596304,77.220911
194,32,2025-09-19T17:34:40,33.7,2.81,0.141,5.0,28.596192,77.221164
195,4,2025-09-18T07:07:16,45.03,4.71,0.205,6.28,28.591655,77.208613
196,7,2025-09-07T19:29:50,33.07,4.74,0.109,8.6,28.611019,77.181797
197,29,2025-10-08T22:40:51,21.65,2.22,0.045,6.15,28.612107,77.229435
198,18,2025-09-30T20:42:52,15.83,1.8,0.137,6.82,28.600572,77.178785
199,33,2025-09-17T10:47:51,6.01,0.69,0.17,6.89,28.60623,77.223195
200,7,2025-10-05T05:06:17,6.34,0.83,0.075,7.85,28.571203,77.195448
201,48,2025-10-04T12:49:07,28.99,4.0,0.022,8.28,28.572364,77.224262
202,50,2025-10-14T15:09:01,54.12,4.43,0.295,4.91,28.603574,77.186553
203,42,2025-09-05T21:51:39,20.61,2.48,0.138,7.22,28.576061,77.202034
204,39,2025-09-17T04:18:48,20.96,1.71,0.101,4.9,28.628612,77.229355
205,8,2025-09-25T10:14:13,10.78,1.35,0.181,7.51,28.607906,77.210748
206,15,2025-09-29T21:01:14,55.95,6.43,0.129,6.9,28.600413,77.211373
207,47,2025-09-12T22:01:54,11.52,1.55,0.19,8.07,28.608107,77.22398
208,12,2025-09-11T04:17:43,45.03,4.48,0.256,5.97,28.585151,77.227916
209,11,2025-09-03T21:50:12,58.1,8.62,0.244,8.9,28.597156,77.225959
210,7,2025-09-08T14:51:13,40.63,3.47,0.239,5.12,28.584493,77.223048
211,7,2025-10-11T08:13:51,32.03,2.82,0.306,5.28,28.582724,77.222888
212,18,2025-10-10T04:00:03,39.96,5.47,0.183,8.21,28.628275,77.187695
213,18,2025-09-30T17:05:46,45.14,6.28,0.206,8.35,28.588437,77.213279
214,4,2025-10-08T17:37:15,57.11,5.41,0.08,5.68,28.613751,77.224372
215,20,2025-10-16T18:35:17,54.32,8.06,0.096,8.9,28.611234,77.208879
216,17,2025-09-04T02:46:34,43.51,5.01,0.21,6.91,28.629184,77.207311
217,23,2025-10-10T05:05:56,52.26,6.0,0.079,6.89,28.595843,77.226303
218,35,2025-09-01T18:06:18,30.33,3.87,0.254,7.66,28.595248,77.212213
219,13,2025-10-04T14:28:31,41.72,3.72,0.175,5.35,28.61634,77.189265
220,14,2025-10-06T06:16:20,6.1,0.86,0.068,8.46,28.605848,77.185842
221,49,2025-09-12T23:55:29,13.24,1.8,0.098,8.16,28.596087,77.179117
222,13,2025-09-10T12:18:32,40.17,4.98,0.166,7.44,28.586822,77.193259
223,10,2025-09-06T23:07:48,31.91,3.99,0.132,7.5,28.6051,77.202157
224,45,2025-09-02T01:54:33,46.25,4.0,0.214,5.19,28.627244,77.170583
225,46,2025-10-10T14:32:32,17.21,1.89,0.141,6.59,28.594734,77.187538
226,27,2025-09-12T14:25:42,47.91,4.03,0.202,5.05,28.621425,77.182089
227,35,2025-10-17T13:12:36,11.39,1.18,0.02,6.22,28.577957,77.189701
228,38,2025-10-10T06:32:19,37.89,4.64,0.092,7.35,28.580037,77.194772
229,4,2025-10-11T23:31:24,14.06,1.86,0.128,7.94,28.589913,77.212281
230,19,2025-10-02T23:56:54,19.23,2.36,0.129,7.36,28.590425,77.222036
231,14,2025-09-01T10:58:08,42.74,4.38,0.1,6.15,28.620422,77.172564
232,10,2025-10-04T21:46:13,42.53,4.3,0.146,6.07,28.60761,77.204182
233,34,2025-10-04T10:23:09,17.8,2.22,0.039,7.48,28.580779,77.217473
234,7,2025-09-06T01:08:50,24.98,3.14,0.189,7.54,28.606701,77.181848
235,17,2025-10-03T17:19:31,34.58,4.54,0.189,7.88,28.627291,77.177819
236,18,2025-09-30T18:06:57,21.71,2.08,0.223,5.75,28.589798,77.216352
237,20,2025-10-04T23:32:35,20.72,1.69,0.197,4.89,28.573918,77.182558
238,40,2025-09-17T04:20:00,32.0,4.73,0.182,8.87,28.615168,77.223422
239,37,2025-10-15T07:16:21,19.58,2.47,0.155,7.57,28.596934,77.178985
240,11,2025-10-18T06:44:28,45.83,6.7,0.02,8.77,28.596197,77.18366
241,18,2025-10-04T16:28:44,50.77,7.37,0.065,8.71,28.6153,77.200378
242,34,2025-10-11T18:37:17,39.68,5.86,0.161,8.86,28.573628,77.208933
243,14,2025-10-19T16:21:07,54.03,5.1,0.154,5.66,28.61714,77.170187
244,7,2025-10-07T03:32:27,45.97,6.71,0.181,8.76,28.584707,77.204421
245,42,2025-10-08T23:45:04,33.35,4.58,0.129,8.24,28.586926,77.205515
246,45,2025-09-10T07:37:15,5.74,0.75,0.047,7.84,28.614259,77.173682
247,37,2025-09-15T23:55:26,8.24,0.95,0.04,6.92,28.603829,77.177647
248,19,2025-10-07T12:14:26,51.72,6.67,0.118,7.74,28.575468,77.188997
249,36,2025-10-12T15:39:28,19.05,1.81,0.116,5.7,28.585493,77.178547
250,4,2025-09-14T21:18:08,36.95,4.46,0.163,7.24,28.629839,77.222954
251,10,2025-10-19T12:39:40,29.08,3.68,0.14,7.59,28.623416,77.223184
252,3,2025-10-18T17:54:39,58.19,8.32,0.146,8.58,28.591587,77.221375
253,17,2025-09-29T04:02:27,45.55,4.41,0.237,5.81,28.623314,77.227143
254,47,2025-09-15T00:27:30,59.19,6.55,0.02,6.64,28.612184,77.174284
255,49,2025-09-15T00:18:18,5.81,0.67,0.062,6.92,28.60274,77.180042
256,30,2025-09-17T20:19:37,41.0,4.84,0.151,7.08,28.621762,77.203103
257,21,2025-09-20T01:58:52,46.47,4.23,0.117,5.46,28.58387,77.215848
258,25,2025-09-16T19:18:49,36.3,3.16,0.09,5.22,28.614239,77.220348
259,46,2025-10-12T17:19:58,21.35,2.23,0.142,6.27,28.60639,77.224168
260,4,2025-09-23T05:14:30,14.13,1.21,0.179,5.14,28.605076,77.205436
261,28,2025-09-18T21:23:16,35.17,4.74,0.161,8.09,28.622429,77.220739
262,26,2025-09-29T11:23:02,25.5,2.23,0.232,5.25,28.625235,77.222591
263,1,2025-10-11T22:35:49,24.02,2.36,0.157,5.9,28.600941,77.195653
264,48,2025-10-11T12:56:13,32.09,4.79,0.166,8.96,28.596546,77.21482
265,46,2025-09-26T01:00:57,6.11,0.56,0.233,5.5,28.625429,77.226554
266,28,2025-09-16T08:52:36,57.09,5.4,0.19,5.68,28.62665,77.203716
267,38,2025-10-19T16:28:03,12.53,1.29,0.173,6.18,28.612539,77.200629
268,4,2025-10-15T19:01:54,17.87,2.5,0.11,8.39,28.605799,77.227154
269,37,2025-09-10T15:38:48,6.11,0.9,0.162,8.84,28.609437,77.188177
270,8,2025-10-08T07:22:53,22.74,2.77,0.21,7.31,28.626365,77.192149
271,28,2025-10-02T14:29:25,59.91,7.29,0.151,7.3,28.612606,77.225207
272,31,2025-10-02T18:57:54,9.87,1.43,0.105,8.69,28.627946,77.203356
273,9,2025-10-05T03:05:14,51.09,6.97,0.073,8.19,28.586073,77.197433
274,38,2025-09-18T12:02:38,15.05,1.21,0.155,4.82,28.620128,77.206832
275,40,2025-09-08T09:08:44,49.16,4.86,0.02,5.93,28.588188,77.219646
276,7,2025-09-26T07:22:56,57.36,5.32,0.224,5.56,28.615475,77.186221
277,37,2025-09-29T19:30:26,31.0,2.48,0.095,4.8,28.627395,77.171418
278,48,2025-10-09T10:07:02,58.36,7.43,0.265,7.64,28.588091,77.228573
279,26,2025-10-05T21:05:53,38.93,4.57,0.192,7.04,28.628155,77.203094
280,44,2025-10-01T12:37:35,23.48,2.96,0.187,7.56,28.627779,77.171246
281,4,2025-09-02T07:01:28,28.39,2.87,0.244,6.07,28.579048,77.170539
282,23,2025-09-02T17:57:49,20.19,1.74,0.107,5.17,28.570605,77.17708
283,5,2025-10-10T22:08:16,24.24,2.65,0.118,6.56,28.575304,77.216867
284,23,2025-10-16T10:05:46,54.87,5.93,0.101,6.48,28.626362,77.182302
285,33,2025-10-19T00:09:41,47.99,5.82,0.136,7.28,28.619009,77.222146
286,48,2025-09-05T10:44:05,29.26,4.05,0.162,8.3,28.572111,77.186554
287,14,2025-09-15T11:28:30,8.38,1.25,0.155,8.95,28.616266,77.178089
288,26,2025-09-01T08:45:01,58.81,7.48,0.145,7.63,28.603041,77.211112
289,14,2025-09-13T10:51:16,35.98,4.13,0.213,6.89,28.574219,77.17201
290,11,2025-09-05T11:11:07,8.23,0.76,0.219,5.54,28.573511,77.198262
291,27,2025-09-02T04:32:49,22.46,2.72,0.108,7.27,28.621206,77.191991
292,39,2025-09-04T10:45:37,23.75,3.35,0.114,8.46,28.588386,77.207695
293,16,2025-10-02T10:41:26,12.76,1.74,0.227,8.18,28.589416,77.182254
294,44,2025-09-02T23:38:56,20.88,2.13,0.226,6.12,28.606505,77.215314
295,48,2025-09-10T03:00:03,52.65,5.11,0.199,5.82,28.5734,77.226407
296,1,2025-10-09T02:34:05,10.24,0.93,0.198,5.45,28.590588,77.196763
297,17,2025-09-10T18:30:26,9.2,1.25,0.157,8.15,28.615149,77.206343
298,29,2025-10-11T00:59:39,30.53,4.38,0.02,8.61,28.609224,77.173089
299,48,2025-09-16T15:02:05,55.76,7.34,0.169,7.9,28.628051,77.223917
300,35,2025-09-06T23:21:57,33.7,3.53,0.188,6.28,28.592019,77.170031
301,7,2025-10-08T17:37:06,56.62,6.65,0.154,7.05,28.586421,77.176138
302,41,2025-09-26T19:02:26,24.69,2.16,0.129,5.25,28.573997,77.208858
303,3,2025-10-17T20:44:00,32.81,4.18,0.22,7.64,28.621652,77.189099
304,26,2025-09-08T11:59:49,53.49,6.53,0.249,7.32,28.597009,77.189799
305,47,2025-09-19T15:46:34,50.49,6.7,0.072,7.96,28.627853,77.208486
306,27,2025-09-23T15:13:17,27.08,3.42,0.266,7.58,28.623339,77.193321
307,6,2025-10-09T15:44:05,31.52,4.61,0.107,8.78,28.590451,77.199913
308,38,2025-09-12T20:14:00,53.28,5.07,0.162,5.71,28.585426,77.190203
309,2,2025-09-06T23:36:33,40.0,5.89,0.156,8.83,28.618032,77.19322
310,23,2025-09-09T06:38:19,5.48,0.71,0.175,7.77,28.573859,77.222385
311,2,2025-10-16T15:00:23,15.22,1.67,0.225,6.58,28.5812,77.207183
312,37,2025-09-27T16:47:32,13.23,1.89,0.174,8.57,28.590017,77.211871
313,41,2025-10-12T23:49:40,7.3,0.74,0.152,6.08,28.591505,77.20315
314,6,2025-09-24T03:09:01,18.97,2.5,0.143,7.91,28.626784,77.183608
315,13,2025-10-02T07:53:40,46.62,4.26,0.167,5.48,28.616115,77.175547
316,7,2025-09-26T21:28:03,47.12,6.68,0.224,8.51,28.581725,77.228131
